Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;20/07/1970;9,789;
64005000;1;1;21/07/1970;9,487;
64005000;1;1;22/07/1970;9,789;
64005000;1;1;23/07/1970;10,247;
64005000;1;1;24/07/1970;28,614;
64005000;1;1;25/07/1970;19,594;
64005000;1;1;26/07/1970;12,114;
64005000;1;1;27/07/1970;10,247;
64005000;1;1;28/07/1970;9,789;
64005000;1;1;29/07/1970;9,789;
64005000;1;1;30/07/1970;9,336;
64005000;1;1;31/07/1970;9,037;
64005000;1;1;01/08/1970;8,739;
64005000;1;1;02/08/1970;7,857;
64005000;1;1;03/08/1970;8,003;
64005000;1;1;04/08/1970;8,003;
64005000;1;1;05/08/1970;7,712;
64005000;1;1;06/08/1970;7,567;
64005000;1;1;07/08/1970;6,852;
64005000;1;1;08/08/1970;6,852;
64005000;1;1;09/08/1970;6,852;
64005000;1;1;10/08/1970;6,852;
64005000;1;1;11/08/1970;6,852;
64005000;1;1;12/08/1970;6,852;
64005000;1;1;13/08/1970;6,852;
64005000;1;1;14/08/1970;6,852;
64005000;1;1;15/08/1970;8,591;
64005000;1;1;16/08/1970;8,296;
64005000;1;1;17/08/1970;6,852;
64005000;1;1;18/08/1970;6,852;
64005000;1;1;19/08/1970;6,852;
64005000;1;1;20/08/1970;6,852;
64005000;1;1;21/08/1970;6,852;
64005000;1;1;22/08/1970;6,852;
64005000;1;1;23/08/1970;6,852;
64005000;1;1;24/08/1970;6,852;
64005000;1;1;25/08/1970;12,114;
64005000;1;1;26/08/1970;28,614;
64005000;1;1;27/08/1970;42,218;
